Name,Name2,X1 (Relative Compactness) ,X2 (Compactness),X3 (Surface Area) (m2),X4 (Wall Area) (m2),X5 (Roof and floor Area) (m2),X6 (Overall Height) (m),X7 (Glazing Percentage) ,X8 (Temperature) (in F),X9 (Orientation) ( in degrees),X10 (Roof U value) (BTU/hft2F),X11 (EX.Walls U value)(BTU/hft2F),X12 (EX.windows U value) (BTU/hft2F),X13 (SHGC of Windows) ,Interior Walls (BTU/hft2F),Ceilings (BTU/hft2F),Floors (BTU/hft2F),Slabs (BTU/hft2F),Doors -Metal (BTU/hft2F),Interior Windows (BTU/hft2F),Skylights (BTU/hft2F),Outdoor Air per Person (CFM),Y (Energy) (kwh/m2/year
EA,0D10,0.705,1.178,856,280,288,3.5,10,45,0,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,212
EA,0K10,0.705,1.178,856,280,288,3.5,10,55,0,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,238
EA,0M10,0.705,1.178,856,280,288,3.5,10,63,0,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,214
EA,0B30,0.705,1.178,856,280,288,3.5,30,72,0,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,219
EA,0C30,0.705,1.178,856,280,288,3.5,30,69,0,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,226
EA,0D30,0.705,1.178,856,280,288,3.5,30,45,0,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,210
EA,0K30,0.705,1.178,856,280,288,3.5,30,55,0,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,236
EA,0M30,0.705,1.178,856,280,288,3.5,30,63,0,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,213
EA,0B50,0.705,1.178,856,280,288,3.5,50,72,0,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,220
EA,0C50,0.705,1.178,856,280,288,3.5,50,69,0,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,227
EA,0D50,0.705,1.178,856,280,288,3.5,50,45,0,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,208
EA,0K50,0.705,1.178,856,280,288,3.5,50,55,0,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,234
EA,0M50,0.705,1.178,856,280,288,3.5,50,63,0,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,214
EA,45B0,0.705,1.178,856,280,288,3.5,0,72,45,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,222
EA,45C0,0.705,1.178,856,280,288,3.5,0,69,45,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,229
EA,45D0,0.705,1.178,856,280,288,3.5,0,45,45,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,223
EA,45K0,0.705,1.178,856,280,288,3.5,0,55,45,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,245
EA,45M0,0.705,1.178,856,280,288,3.5,0,63,45,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,218
EA,45B10,0.705,1.178,856,280,288,3.5,10,72,45,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,222
EA,45C10,0.705,1.178,856,280,288,3.5,10,69,45,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,229
EA,45D10,0.705,1.178,856,280,288,3.5,10,45,45,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,218
EA,45K10,0.705,1.178,856,280,288,3.5,10,55,45,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,243
EA,45M10,0.705,1.178,856,280,288,3.5,10,63,45,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,218
EA,45B30,0.705,1.178,856,280,288,3.5,30,72,45,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,224
EA,45C30,0.705,1.178,856,280,288,3.5,30,69,45,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,232
EA,45D30,0.705,1.178,856,280,288,3.5,30,45,45,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,216
EA,45K30,0.705,1.178,856,280,288,3.5,30,55,45,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,241
EA,45M30,0.705,1.178,856,280,288,3.5,30,63,45,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,219
EA,45B50,0.705,1.178,856,280,288,3.5,50,72,45,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,227
EA,45C50,0.705,1.178,856,280,288,3.5,50,69,45,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,235
EA,45D50,0.705,1.178,856,280,288,3.5,50,45,45,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,216
EA,45K50,0.705,1.178,856,280,288,3.5,50,55,45,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,240
EA,45M50,0.705,1.178,856,280,288,3.5,50,63,45,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,221
EA,135B0,0.705,1.178,856,280,288,3.5,0,72,135,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,222
